Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player
2017-2018,25,Liverpool,eng ENG,1. Premier League,4th,32.3,32,142,64,45.1,4.40,1.98,0.22,0.48,15.3,4,1,2,24.1,22.6,0.16,+7.9,+8.4,Matches,salah
2018-2019,26,Liverpool,eng ENG,1. Premier League,2nd,36.1,22,134,60,44.8,3.71,1.66,0.14,0.32,16.9,3,3,3,20.2,17.9,0.13,+1.8,+1.1,Matches,salah
2019-2020,27,Liverpool,eng ENG,1. Premier League,1st,32.0,19,129,56,43.4,4.04,1.75,0.12,0.29,15.0,4,3,3,19.0,16.6,0.13,0.0,-0.6,Matches,salah
2020-2021,28,Liverpool,eng ENG,1. Premier League,3rd,34.2,22,120,46,38.3,3.51,1.35,0.13,0.35,16.4,1,6,6,19.3,14.6,0.12,+2.7,+1.4,Matches,salah
2021-2022,29,Liverpool,eng ENG,1. Premier League,2nd,30.7,23,133,49,36.8,4.33,1.60,0.14,0.37,15.8,1,5,6,22.7,17.8,0.13,+0.3,+0.2,Matches,salah
2022-2023,30,Liverpool,eng ENG,1. Premier League,5th,36.6,19,121,45,37.2,3.31,1.23,0.14,0.38,15.1,2,2,4,21.6,18.5,0.15,-2.6,-1.5,Matches,salah
2023-2024,31,Liverpool,eng ENG,1. Premier League,3rd,28.2,18,107,47,43.9,3.80,1.67,0.12,0.28,15.5,1,5,7,21.2,15.5,0.15,-3.2,-2.5,Matches,salah
