Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player
2017-2018,22,Manchester City,eng ENG,1. Premier League,1st,28.7,18,86,33,38.4,2.99,1.15,0.20,0.52,14.9,0,1,1,16.2,15.3,0.18,+1.8,+1.7,Matches,sterling
2018-2019,23,Manchester City,eng ENG,1. Premier League,1st,30.8,17,77,38,49.4,2.50,1.23,0.22,0.45,13.9,1,0,0,13.7,13.7,0.18,+3.3,+3.3,Matches,sterling
2019-2020,24,Manchester City,eng ENG,1. Premier League,2nd,29.5,20,97,36,37.1,3.29,1.22,0.21,0.56,14.0,1,0,2,18.2,16.4,0.17,+1.8,+3.6,Matches,sterling
