Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player
2018-2019,29,Arsenal,eng ENG,1. Premier League,5th,30.3,22,89,34,38.2,2.94,1.12,0.20,0.53,14.2,0,4,5,22.5,18.5,0.21,-0.5,-0.5,Matches,Aubameyang
2019-2020,30,Arsenal,eng ENG,1. Premier League,8th,34.8,22,91,40,44.0,2.61,1.15,0.22,0.50,15.5,2,2,2,14.7,13.2,0.14,+7.3,+6.8,Matches,Aubameyang
